complaint_text,channel,ward,timestamp
"Bawadiya Kalan Salaiya road ke main intersection par bijli ka khamba tedha ho kar girne ki sthiti me hai, live wire se sparking ho rahi hai aag lagne ka darr hai.",Helpline 181,Hoshangabad Road,2026-09-15 08:15:00
"Bawadiya Kalan Salaiya road ke main intersection par bijli ka khamba tedha ho kar gir raha hai, live wire se sparking ho rahi hai aag lagne ka khatra hai.",WhatsApp Helpline,Hoshangabad Road,2026-09-15 08:35:00
"Shahpura Sector C lake promenade ke paas deep open manhole bina dhakkan ke hai, morning walkers aur bachhon ke girne ka gambhir khatra hai.",Mobile App,Shahpura,2026-09-15 09:10:00
"Bitthan Market Arera Colony me community dustbin se kachra sadak par fail gaya hai, stray dogs aur gandi badboo se dukandaron ko pareshani ho rahi hai.",Municipal Portal,Arera Colony,2026-09-15 10:05:00
"Minal Residency Ayodhya Bypass Gate 2 ke paas drinking water supply pipe phat gaya hai, sadak par saaf paani beh raha hai aur colony me paani nahi aa raha hai.",Helpline 181,Ayodhya Bypass,2026-09-15 11:20:00
"Minal Residency Ayodhya Bypass Gate 2 ke paas drinking water supply pipe leak ho gaya hai, sadak par saaf paani beh raha hai aur colony me supply band hai.",Walk-in,Ayodhya Bypass,2026-09-15 11:45:00
"Old Bhopal Itwara road par illegal vegetable hawkers aur thele walon ne poora footpath aur aadha road block kar diya hai, heavy traffic jam ho raha hai.",CM Helpline,Old Bhopal,2026-09-15 12:30:00
"Karond mandi chourahe ke paas open sewage nallah choke hone se ganda badboodar nali ka paani sadak par beh raha hai aur dukanon me ghus raha hai.",WhatsApp Helpline,Karond,2026-09-15 13:15:00
"MP Nagar Zone 1 Sargam talkies ke peeche awara kutton ka aatank hai, pichhle do din me teen pedestrians aur bike riders par jhapatte hain.",Mobile App,MP Nagar,2026-09-15 14:00:00
"Bairagarh Halalpura bus stand ke paas dengue aur chikungunya machharon ki roktham ke liye kripya municipal insecticidal fogging karwaye.",Helpline 181,Bairagarh,2026-09-15 15:40:00
