complaint_text,channel,ward,timestamp
"Kolar road Mandakini ground ke paas main drinking water pipeline phat gayi hai, subah 6 baje se hazaron litre saaf paani sadak par beh raha hai.",WhatsApp Helpline,Kolar Road,2026-09-10 07:15:00
"Mandakini Kolar me main water pipe burst ho gaya hai, road par talab ban gaya hai aur gharo me paani ka pressure bilkul zero ho gaya hai.",Mobile App,Kolar Road,2026-09-10 07:42:00
"Arera Colony E-3, 10 Number market ke peeche dustbin se kachra sadak par fail gaya hai, bohot gandi badboo aa rahi hai kripya gaadi bhejiye.",Helpline 181,Arera Colony,2026-09-11 09:30:00
"10 no market Arera Colony me garbage bin overflow ho raha hai aur pichhle teen din se BMC kachra van nahi aayi hai.",WhatsApp Helpline,Arera Colony,2026-09-11 10:15:00
"MP Nagar Zone 2 Jyoti Talkies ke paas 4 streetlights pichhle 5 din se band padi hain, raat me poora andhera rehta hai aur chori ka darr hai.",Municipal Portal,MP Nagar,2026-09-12 20:00:00
"Zone 2 MP nagar me street light nahi jal rahi hain, andhere ke kaaran road par pedestrians ko chalne me dikkat ho rahi hai.",Mobile App,MP Nagar,2026-09-12 21:10:00
"Govindpura industrial area me transformer se bhishan sparking ho rahi hai aur live wire neeche latak gaya hai, electrocution ka bohot bada khatra hai turant line kaatiye!",Helpline 181,Govindpura,2026-09-13 14:20:00
"Shahpura Sector B primary school ke theek saamne deep open manhole ka dhakkan gayab hai, bachho ke girne ka khatra hai emergency me dhakkan lagwaye.",WhatsApp Helpline,Shahpura,2026-09-13 11:05:00
"Karond mandi ke paas naali poori tarah chok ho chuki hai, ganda badboodar sewage paani dukanon ke aage jama ho raha hai.",Walk-in,Karond,2026-09-08 12:00:00
"Old Bhopal Chowk Bazar me footpath par avaidh thele walo ne poora rasta block kar diya hai, traffic jaam lag raha hai.",Helpline 181,Old Bhopal,2026-09-09 16:45:00
"TT Nagar Mata Mandir chourahe ke paas sadak par bohot bada aur gehra gaddha (pothole) ho gaya hai, do do-wheeler gir chuke hain.",Mobile App,TT Nagar,2026-09-10 18:30:00
"Bairagarh Sant Hirdaram Nagar me colony ke andar 10-12 awara kutto ka jhund hai jo aane jaane walo ko kaatne daudta hai, dog squad bheje.",WhatsApp Helpline,Bairagarh,2026-09-11 15:20:00
"Ayodhya Bypass Minal Residency ke paas dengue aur malaria ke machhar bohot badh gaye hain, kripya insecticide fogging karwaye.",Municipal Portal,Ayodhya Bypass,2026-09-11 17:40:00
"Habibganj railway station 7 number stop ke paas public toilet bohot ganda aur choked pada hai, safai karwaiye.",Walk-in,Habibganj,2026-09-12 11:15:00
"Jahangirabad police line ke paas bijli ka khamba tedha ho gaya hai aur taar neeche jhuk rahe hain.",Helpline 181,Jahangirabad,2026-09-12 13:50:00
"Hoshangabad road Misrod ke paas main road par divider toota hua hai jisse raat me accident ka risk hai.",Mobile App,Hoshangabad Road,2026-09-13 08:30:00
"Shahpura lake ke paas dead animal (dog) pada hua hai subah se, bohot tez badboo aa rahi hai safai karwaye.",WhatsApp Helpline,Shahpura,2026-09-13 09:10:00
"Katara Hills Spring Valley colony me pichhle do din se supply ka peene ka paani bilkul nahi aaya hai, tanker bheja jaye.",Helpline 181,Katara Hills,2026-09-14 06:45:00
"Chuna Bhatti Kaliasot road par gay aur bail sadak ke beech me baithe rehte hain, traffic block hota hai.",Municipal Portal,Chuna Bhatti,2026-09-14 10:20:00
"Koh-e-fiza VIP road par roadside illegal construction chalu hai jo green belt par encroachment kar raha hai.",Walk-in,Koh-e-Fiza,2026-09-14 14:00:00
"New Market Top 'N Town ke samne open transformer se continuous sparks nikal rahe hain aag lagne ka risk hai.",Helpline 181,New Market,2026-09-14 15:30:00
"Ashoka Garden 80 feet road par sewer line overflow ho kar poori sadak par beh rahi hai, log gharo se nikal nahi pa rahe.",WhatsApp Helpline,Ashoka Garden,2026-09-14 16:15:00
"Anand Nagar Kokta transport nagar me kachra jalaya ja raha hai jisse pradooshan aur dhuwan fail raha hai.",Mobile App,Anand Nagar,2026-09-14 17:00:00
"Gandhi Nagar airport road par street light pole damaged hai wire open hai current aa raha hai.",Helpline 181,Gandhi Nagar,2026-09-14 18:45:00
"MP Nagar Chetak bridge ke paas bada sa khadda hai sadak par.",Municipal Portal,MP Nagar,2026-09-14 19:30:00
"Kolar Sarvadharma colony me paani me se mitti aur ganda badboodar paani nikal raha hai, infection failne ka khatra hai.",WhatsApp Helpline,Kolar Road,2026-09-15 08:00:00
"Arera Colony Bitthan Market me awara suar aur cattle kachra faila rahe hain.",Walk-in,Arera Colony,2026-09-15 09:15:00
"Govindpura BHEL township me barish ke baad drain choked hai aur waterlogging ho gayi hai.",Mobile App,Govindpura,2026-09-15 10:00:00
"Karond DIG bungalow road par sadak dhas gayi hai (road cave-in), turant barricade lagwaye.",Helpline 181,Karond,2026-09-15 10:30:00
"Old Bhopal Jumerati gate me illegal meat shop ka kachra open drain me phenka ja raha hai.",Municipal Portal,Old Bhopal,2026-09-15 11:00:00
"TT Nagar Platinum Plaza ke samne footpath par cycle rickshaw aur illegal thela lagane se paidal chalne ki jagah nahi hai.",Walk-in,TT Nagar,2026-09-15 11:30:00
"Shahpura Gulmohar colony me park ki lights band hain aur shaam ko log baith nahi pa rahe.",WhatsApp Helpline,Shahpura,2026-09-15 12:00:00
"Bairagarh Sehore naka ke paas paani ki supply me pressure bohot kam hai, 1st floor tak paani nahi chadh raha.",Helpline 181,Bairagarh,2026-09-15 12:15:00
"Ayodhya Nagar bypass par khula manhole bina kisi warning board ke hai raat me bada haadsa ho sakta hai.",Mobile App,Ayodhya Bypass,2026-09-15 12:30:00
"Habibganj Subhash Nagar me colony kachra point se kachra nahi utha pichhle do din se.",WhatsApp Helpline,Habibganj,2026-09-15 12:45:00
"New Market Malviya Nagar me paani ka valve leak kar raha hai saaf paani drain me beh raha hai.",Helpline 181,New Market,2026-09-15 13:00:00
"Hoshangabad Road Bawadiya Kalan me machharo ki dawa ka chhidkaw karwaya jaye dengue ke cases mil rahe hain.",Municipal Portal,Hoshangabad Road,2026-09-15 13:15:00
"Ashoka Garden Pushpa Nagar me awara kutto ne ek bachhe ko kaat liya hai, kripya pakadne wali team bheje.",Helpline 181,Ashoka Garden,2026-09-15 13:30:00
"??? asdfghjkl #$%^& 9876543210 test data error",Municipal Portal,MP Nagar,2026-09-15 13:45:00
"Bohot pareshaani hai kuch samadhan karo jaldi se jaldi.",WhatsApp Helpline,UNKNOWN,2026-09-15 13:50:00
